timestamp,endpoint,requests,concurrency,requests_per_sec,mean_time_per_request(ms),total_time_taken(s),failed_requests,non_2xx_responses
2025-07-14 18:18:17,/fib,1,1,2.01,497.370,0.497,0,0
2025-07-14 18:23:19,/fib,1,1,2.16,462.230,0.462,0,0
2025-07-14 18:28:20,/fib,1,1,1.71,584.167,0.584,0,0
2025-07-14 18:33:22,/fib,100,10,4.03,2479.994,24.800,0,0
2025-07-14 18:38:47,/fib,100,10,3.99,2509.268,25.093,0,0
2025-07-14 18:44:13,/fib,100,10,3.92,2548.091,25.481,2,0
