Id,metric_alias_widget_1292_0,metric_alias_widget_1292_1
StatusCode,Complete,Complete
Messages,,
Full label,us-east-1:ECS/ContainerInsights ClusterName:fargate-benchmark-cluster-ov2 NetworkTxBytes Average 3600,us-east-1:ECS/ContainerInsights ClusterName:fargate-benchmark-cluster-ov2 NetworkRxBytes Average 3600
Label,NetworkTxBytes,NetworkRxBytes
2025/07/08 21:30:00,261.35714285714283,309.04761904761904
2025/07/08 22:30:00,261.26666666666665,361.8333333333333
2025/07/08 23:30:00,250.4,307.8833333333333
2025/07/09 00:30:00,196.83333333333334,298.96666666666664
2025/07/09 01:30:00,250.41666666666666,310.18333333333334
2025/07/09 02:30:00,212.61666666666667,301.0833333333333
2025/07/09 03:30:00,236.46666666666667,305.78333333333336
2025/07/09 04:30:00,224.83333333333334,304.98333333333335
2025/07/09 05:30:00,228.28333333333333,302.3666666666667
2025/07/09 06:30:00,237.3,309.4
2025/07/09 07:30:00,213.53333333333333,300.85
2025/07/09 08:30:00,243.83333333333334,306.8
2025/07/09 09:30:00,204.26666666666668,298.9
2025/07/09 10:30:00,260.05,309.65
2025/07/09 11:30:00,199.3,298.23333333333335
2025/07/09 12:30:00,253.16666666666666,308.3833333333333
2025/07/09 13:30:00,209.66666666666666,300.31666666666666
2025/07/09 14:30:00,233.56666666666666,304.8333333333333
2025/07/09 15:30:00,223.35,302.43333333333334
2025/07/09 16:30:00,225.4,301.21666666666664
2025/07/09 17:30:00,232.56666666666666,304.5
2025/07/09 18:30:00,212.56666666666666,300.93333333333334
2025/07/09 19:30:00,242.21666666666667,306.35
2025/07/09 20:30:00,198.11666666666667,298.0833333333333
2025/07/09 21:30:00,253.4,308.21666666666664
2025/07/09 22:30:00,197.65,304.4
2025/07/09 23:30:00,264.55,317.05
2025/07/10 00:30:00,201.76666666666668,299.01666666666665
2025/07/10 01:30:00,246.01666666666668,306.8666666666667
2025/07/10 02:30:00,206.76666666666668,299.65
2025/07/10 03:30:00,232.33333333333334,302.51666666666665
2025/07/10 04:30:00,219.31666666666666,302
2025/07/10 05:30:00,223.96666666666667,302.8833333333333
2025/07/10 06:30:00,235.88333333333333,305
2025/07/10 07:30:00,214.33333333333334,301.48333333333335
2025/07/10 08:30:00,252.13333333333333,308.1666666666667
2025/07/10 09:30:00,204.01666666666668,299.3333333333333
2025/07/10 10:30:00,259.93333333333334,309.8333333333333
2025/07/10 11:30:00,199.56666666666666,298.05
2025/07/10 12:30:00,246.45,307
2025/07/10 13:30:00,210.08333333333334,300.21666666666664
2025/07/10 14:30:00,236.4,303.18333333333334
2025/07/10 15:30:00,212.71666666666667,300.4166666666667
2025/07/10 16:30:00,219.5,301.75
2025/07/10 17:30:00,227.13333333333333,303.5
2025/07/10 18:30:00,208.85,300.65
2025/07/10 19:30:00,238.48333333333332,307.6333333333333
2025/07/10 20:30:00,191.5,296.6166666666667
2025/07/10 21:30:00,249.2,309.6666666666667
2025/07/10 22:30:00,196.76666666666668,306.98333333333335
2025/07/10 23:30:00,243.7,309.3
2025/07/11 00:30:00,204.73333333333332,299.21666666666664
2025/07/11 01:30:00,224.2,301.1
2025/07/11 02:30:00,206.5,299.48333333333335
2025/07/11 03:30:00,215.3,300.8333333333333
2025/07/11 04:30:00,220.85,304.1
2025/07/11 05:30:00,195.88333333333333,299.8333333333333
2025/07/11 06:30:00,229.5,305.8333333333333
2025/07/11 07:30:00,183.55,296.6666666666667
2025/07/11 08:30:00,229.93333333333334,306.1
2025/07/11 09:30:00,182.43333333333334,294.9
2025/07/11 10:30:00,226.85,303.48333333333335
2025/07/11 11:30:00,189.35,296.2
2025/07/11 12:30:00,222.4,303.7
2025/07/11 13:30:00,203.03333333333333,299.3833333333333
2025/07/11 14:30:00,198.16666666666666,297.93333333333334
2025/07/11 15:30:00,211.76666666666668,302.95
2025/07/11 16:30:00,186.05,297.9
2025/07/11 17:30:00,208.76666666666668,299.78333333333336
2025/07/11 18:30:00,185.65,300.2
2025/07/11 19:30:00,205.45,299.3
2025/07/11 20:30:00,184.28333333333333,297.45
2025/07/11 21:30:00,226.75,320.8333333333333
2025/07/11 22:30:00,189.1,299.1
2025/07/11 23:30:00,214.86666666666667,298.96666666666664
2025/07/12 00:30:00,185.4,295.73333333333335
2025/07/12 01:30:00,213.23333333333332,301.1166666666667
2025/07/12 02:30:00,205.1,304.4
2025/07/12 03:30:00,200.21666666666667,298.1
2025/07/12 04:30:00,204.3,299.03333333333336
2025/07/12 05:30:00,194.51666666666668,301.8333333333333
2025/07/12 06:30:00,215.73333333333332,301.31666666666666
2025/07/12 07:30:00,183.25,295.03333333333336
2025/07/12 08:30:00,231.33333333333334,306.3333333333333
2025/07/12 09:30:00,182.66666666666666,294.8333333333333
2025/07/12 10:30:00,221.3,302.4
2025/07/12 11:30:00,190.08333333333334,296.45
2025/07/12 12:30:00,218.68333333333334,301.51666666666665
2025/07/12 13:30:00,201.06666666666666,298.53333333333336
2025/07/12 14:30:00,208.58333333333334,300.01666666666665
2025/07/12 15:30:00,210.93333333333334,300.48333333333335
2025/07/12 16:30:00,194.81666666666666,297.3333333333333
2025/07/12 17:30:00,220.66666666666666,302.3833333333333
2025/07/12 18:30:00,183.01666666666668,295.1333333333333
2025/07/12 19:30:00,220.08333333333334,302.01666666666665
2025/07/12 20:30:00,183.08333333333334,294.95
2025/07/12 21:30:00,210.48333333333332,297.95
2025/07/12 22:30:00,197.25,300.3666666666667
2025/07/12 23:30:00,214.1,306.3
2025/07/13 00:30:00,198.43333333333334,297.93333333333334
