Id,expr1m0
StatusCode,Complete
Messages,
Full label,us-east-1:[avg: 296] 2f371f9927b744e88fd35dac7776a2e4
Label,[avg: 296] 2f371f9927b744e88fd35dac7776a2e4
2025/07/14 18:55:00,296
2025/07/14 19:00:00,294.8
2025/07/14 19:05:00,294
2025/07/14 19:10:00,294.8
2025/07/14 19:15:00,296.6
2025/07/14 19:20:00,297.4
2025/07/14 19:25:00,294.8
2025/07/14 19:30:00,295.2
2025/07/14 19:35:00,294.2
2025/07/14 19:40:00,295.4
2025/07/14 19:45:00,294.6
2025/07/14 19:50:00,296.2
2025/07/14 19:55:00,295.2
2025/07/14 20:00:00,295.2
2025/07/14 20:05:00,294.2
2025/07/14 20:10:00,296
2025/07/14 20:15:00,294.8
2025/07/14 20:20:00,328.8
2025/07/14 20:25:00,295
2025/07/14 20:30:00,295.4
2025/07/14 20:35:00,295.6
2025/07/14 20:40:00,294.6
2025/07/14 20:45:00,294.6
2025/07/14 20:50:00,294.8
2025/07/14 20:55:00,295
2025/07/14 21:00:00,295.2
2025/07/14 21:05:00,295
2025/07/14 21:10:00,301.2
2025/07/14 21:15:00,296
2025/07/14 21:20:00,295
2025/07/14 21:25:00,295
2025/07/14 21:30:00,295.6
2025/07/14 21:35:00,295.6
2025/07/14 21:40:00,296.8
2025/07/14 21:45:00,296
2025/07/14 21:50:00,295
