timestamp,endpoint,requests,concurrency,requests_per_sec,mean_time_per_request(ms),total_time_taken(s),failed_requests,non_2xx_responses
2025-07-15 01:08:47,/fib,1,1,2.07,483.999,0.484,0,0
2025-07-15 01:13:49,/fib,1,1,2.07,483.554,0.484,0,0
2025-07-15 01:18:51,/fib,1,1,1.90,525.714,0.526,0,0
2025-07-15 01:23:54,/fib,100,10,4.00,2500.540,25.005,1,0
2025-07-15 01:29:20,/fib,100,10,4.03,2483.089,24.831,0,0
2025-07-15 01:34:48,/fib,100,10,4.04,2476.896,24.769,0,0
