timestamp,endpoint,requests,concurrency,requests_per_sec,mean_time_per_request(ms),total_time_taken(s),failed_requests,non_2xx_responses
2025-07-13 22:23:02,/fib,1,1,2.09,478.233,0.478,0,0
2025-07-13 22:28:03,/fib,1,1,2.16,463.999,0.464,0,0
2025-07-13 22:33:05,/fib,1,1,2.16,463.898,0.464,0,0
2025-07-13 22:38:06,/fib,100,10,4.05,2468.319,24.683,1,0
2025-07-13 22:43:32,/fib,100,10,4.03,2482.724,24.827,1,0
2025-07-13 22:48:58,/fib,100,10,4.01,2495.559,24.956,0,0
